DIN-Bahnhof|||||||4.33|4.48|5.03|5.18|5.33|5.48||6.03||6.18||6.33||6.48||7.03||7.18||7.33||7.48||8.03||8.18||8.33||8.48||9.03||9.18||9.33||9.48||10.03||10.18||10.33||10.48||11.03||11.18||11.33||11.48||12.03||12.18||12.33||12.48||13.03||13.18||13.33||13.48||14.03||14.18||14.33||14.48||15.03||15.18||15.33||15.48||16.03||16.18||16.33||16.48||17.03||17.18||17.33||17.48||18.03||18.18||18.33||18.48||19.03||19.18||19.33||19.47|19.52||||20.22||20.52|21.22|21.52|22.22|22.52|23.22|23.52|0.22|
Sonnenstraße||||59||31|46|5.01|16|31|46|6.01|09|16|24|31|39|46|54|7.01|09|16|24|31|39|46|54|8.01|09|16|24|31|39|46|54|9.01|09|16|24|31|39|46|54|10.01|09|16|24|31|39|46|54|11.01|09|16|24|31|39|46|54|12.01|09|16|24|31|39|46|54|13.01|09|16|24|31|39|46|54|14.01|09|16|24|31|39|46|54|15.01|09|16|24|31|39|46|54|16.01|09|16|24|31|39|46|54|17.01|09|16|24|31|39|46|54|18.01|09|16|24|31|39|46|54|01|09|16|24|31|39|46|55|20.00|05|10|16|31|35|54|05|35|05|35|05|35|05|35|38
Schwan||||4.01||33|48|03|18|33|48|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|03|11|18|26|33|41|48|56|20.01|06|11|17|32|36|55|06|36|06|36|06|36|06|36|39
Striepweg||||02||34|49|04|19|34|49|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|02|07|12|18|33|37|56|07|37|07|37|07|37|07|37|40
Heckmann||||04||36|51|06|21|36|51|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|06|14|21|29|36|44|51|59|04|09|14|20|35|39|58|09|39|09|39|09|39|09|39|42
Wolfstraße||||06||38|53|08|23|38|53|08|16|23|31|38|46|53|7.01|08|16|23|31|38|46|53|8.01|08|16|23|31|38|46|53|9.01|08|16|23|31|38|46|53|10.01|08|16|23|31|38|46|53|11.01|08|16|23|31|38|46|53|12.01|08|16|23|31|38|46|53|13.01|08|16|23|31|38|46|53|14.01|08|16|23|31|38|46|53|15.01|08|16|23|31|38|46|53|16.01|08|16|23|31|38|46|53|17.01|08|16|23|31|38|46|53|18.01|08|16|23|31|38|46|53|19.01|08|16|23|31|38|46|53|20.01|06|11|16|21|37|41|21.00|11|41|11|41|11|41|11|41|44
Marxloh Pollmann||||08||40|55|10|25|40|55|10|18|25|33|40|48|55|7.03|10|18|25|33|40|48|55|8.03|10|18|25|33|40|48|55|9.03|10|18|25|33|40|48|55|10.03|10|18|25|33|40|48|55|11.03|10|18|25|33|40|48|55|12.03|10|18|25|33|40|48|55|13.03|10|18|25|33|40|48|55|14.03|10|18|25|33|40|48|55|15.03|10|18|25|33|40|48|55|16.03|10|18|25|33|40|48|55|17.03|10|18|25|33|40|48|55|18.03|10|18|25|33|40|48|55|19.03|10|18|25|33|40|48|55|20.03|08|13|18|24|39|43|21.02|13|43|13|43|13|43|13|43|46
Rhein-Ruhr-Halle||||10||42|57|12|27|42|57|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|10|15|20.05|26|41|45|04|15|45|15|45|15|45|15|45|48
Hamborn Rathaus||||12||44|59|14|29|44|59|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|12|17|22|28|43|47|06|17|47|17|47|17|47|17|47|50
Hamborn Feuerwache||||13||45|5.00|15|30|45|6.00|15|23|30|38|45|53|7.00|08|15|23|30|38|45|53|8.00|08|15|23|30|38|45|53|9.00|08|15|23|30|38|45|53|10.00|08|15|23|30|38|45|53|11.00|08|15|23|30|38|45|53|12.00|08|15|23|30|38|45|53|13.00|08|15|23|30|38|45|53|14.00|08|15|23|30|38|45|53|15.00|08|15|23|30|38|45|53|16.00|08|15|23|30|38|45|53|17.00|08|15|23|30|38|45|53|18.00|08|15|23|30|38|45|53|19.00|08|15|23|30|38|45|53|20.00|08|13|18|23|29|44|48|07|18|48|18|48|18|48|18|48|51
Amsterdamer Straße||||15||47|5.02|17|32|47|6.02|17|25|32|40|47|55|7.02|10|17|25|32|40|47|55|8.02|10|17|25|32|40|47|55|9.02|10|17|25|32|40|47|55|10.02|10|17|25|32|40|47|55|11.02|10|17|25|32|40|47|55|12.02|10|17|25|32|40|47|55|13.02|10|17|25|32|40|47|55|14.02|10|17|25|32|40|47|55|15.02|10|17|25|32|40|47|55|16.02|10|17|25|32|40|47|55|17.02|10|17|25|32|40|47|55|18.02|10|17|25|32|40|47|55|19.02|10|17|25|32|40|47|55|20.02|10|15|20|25|31|46|50|09|20|50|20|50|20|50|20|50|53
