Walsum Krankenhaus||||5.18|5.48|6.18|6.48|7.18|7.48|8.18|8.48|9.18|9.48|10.18|10.48|11.18|11.48|12.18|12.48|13.18|13.48|14.18|14.48|15.18|15.48|16.18|16.48|17.18|17.48|18.18|18.48|19.15|19.45|20.45|21.45|22.45
Berufsschulen|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|08|38|20.01|31|31|31|
Hamborn Rathaus|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|11|41|03|33|33|33|
Altmarkt|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|14|44|05|35|35|35|
Jägerstraße|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|15|45|06|36|36|36|
Kolpingstraße|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|16|46|07|37|37|37|
IKEA Duisburg|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|17|47|08|38|38|38|
Im Weidekamp|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|19|49|10|40|40|40|
Papiermühlenstraße|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|20|50|11|41|41|41|
Gustavstraße|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|21|51|12|42|42|42|
Ostackerweg|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|22|52|13|43|43|43|
Lange Kamp|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|24|54|15|45|45|45|
Karl-Albert-Straße|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|25|55|16|46|46|46|
Beeck Denkmal|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|26|56|17|47|47|47|
Thyssen Tor 20|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|28|58|19|49|49|49|
Ledigenheim|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|29|59|20|50|50|50|
Löwenburgstraße|5.00|30|6.00|30|7.00|30|8.00|30|9.00|30|10.00|30|11.00|30|12.00|30|13.00|30|14.00|30|15.00|30|16.00|30|17.00|30|18.00|30|19.00|30|20.00|21|51|51|51|
Schwalbenplatz|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|31|01|22|52|52|52|
Bunker|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|32|02|23|53|53|53|
Godesberger Straße|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|33|03|24|54|54|54|
