Siechenhausstraße||||||||38|53|8||23||38||53|6.01|8|16|23|31|38|46|53|7.01|8|12|16|23|31|38|46|53|8.01|8|16|23|31|38|46|53|9.01|8|16|23|31|38|46|53|10.01|8|16|23|31|38|46|53|11.01|8|16|23|31|38|46|53|12.01|8|16|23|31|38|46|53|13.01|8|16|23|31|38|46|53|14.01|8|16|23|31|38|46|53|15.01|8|16|23|31|38|46|53|16.01|8|16|23|31|38|46|53|17.01|8|16|23|31|38|46|53|18.01|8|16|23|31|38|46|53|19.01|8|16|23|38|47|02|10|17||47||17|47|17|47|17|47|17
Brückenplatz||||||||39|54|9||24||39||54|02|9|17|24|32|39|47|54|02|9|13|17|24|32|39|47|54|02|9|17|24|32|39|47|54|9.02|9|17|24|32|39|47|54|10.02|9|17|24|32|39|47|54|11.02|9|17|24|32|39|47|54|12.02|9|17|24|32|39|47|54|13.02|9|17|24|32|39|47|54|14.02|9|17|24|32|39|47|54|15.02|9|17|24|32|39|47|54|16.02|9|17|24|32|39|47|54|17.02|9|17|24|32|39|47|54|18.02|9|17|24|32|39|47|54|19.02|9|17|24|39|48|03|11|18||48||18|48|18|48|18|48|18
Platanenhof||||3.37|3.55|4.10|4.25|40|55|10|5.18|25|5.33|40|5.48|55|6.03|10|18|25|33|40|48|55|7.03|10|14|18|25|33|40|48|55|8.03|10|18|25|33|40|48|55|9.03|10|18|25|33|40|48|55|10.03|10|18|25|33|40|48|55|11.03|10|18|25|33|40|48|55|12.03|10|18|25|33|40|48|55|13.03|10|18|25|33|40|48|55|14.03|10|18|25|33|40|48|55|15.03|10|18|25|33|40|48|55|16.03|10|18|25|33|40|48|55|17.03|10|18|25|33|40|48|55|18.03|10|18|25|33|40|48|55|19.03|10|18|25|40|49|04|12|19||49||19|49|19|49|19|49|19
Steinsche Gasse||||38|56|11|26|41|56|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|15|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|41|50|05|13|20||50||20|50|20|50|20|50|20
König-Heinrich-Platz||||39|57|12|27|42|57|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|16|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|42|51|06|14|21||51||21|51|21|51|21|51|21
Hauptbahnhof||||41|59|14|29|44|59|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|18|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|44|53|08|16|23||53||23|53|23|53|23|53|23
Duissern||||44|4.01|16|31|46|5.01|16|24|31|39|46|54|6.01|09|16|24|31|39|46|54|7.01|09|16|20|24|31|39|46|54|8.01|09|16|24|31|39|46|54|9.01|09|16|24|31|39|46|54|10.01|09|16|24|31|39|46|54|11.01|09|16|24|31|39|46|54|12.01|09|16|24|31|39|46|54|13.01|09|16|24|31|39|46|54|14.01|09|16|24|31|39|46|54|15.01|09|16|24|31|39|46|54|16.01|09|16|24|31|39|46|54|17.01|09|16|24|31|39|46|54|18.01|09|16|24|31|39|46|54|19.01|09|16|24|31|46|55|10|18|25||55||25|55|25|55|25|55|25
Auf dem Damm||||48|04|19|34|49|04|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|23|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|42|49|57|04|12|19|27|34|49|58|13|21|28||58||28|58|28|58|28|58|28
Meiderich Bahnhof|3.18|3.35|3.45|50|05|20|35|50|05|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|24|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|43|50|58|05|13|20|28|35|50|59|14|20.22|29||59||29|59|29|59|29|59|0.29
Emilstraße|21|38|48|53|08|23|38|53|08|23|31|38|46|53|6.01|08|16|23|31|38|46|53|7.01|08|16|23|27|31|38|46|53|8.01|08|16|23|31|38|46|53|9.01|08|16|23|31|38|46|53|10.01|08|16|23|31|38|46|53|11.01|08|16|23|31|38|46|53|12.01|08|16|23|31|38|46|53|13.01|08|16|23|31|38|46|53|14.01|08|16|23|31|38|46|53|15.01|08|16|23|31|38|46|53|16.01|08|16|23|31|38|46|53|17.01|08|16|23|31|38|46|53|18.01|08|16|23|31|38|46|53|19.01|08|16|23|31|38|53|20.02|17||32||21.02||32|22.02|32|23.02|32|0.02|
Voßstraße|23|40|50|55|10|25|40|55|10|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|29|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|48|55|03|10|18|25|33|40|55|04|19||34||04||34|04|34|04|34|04|
Landschaftspark Nord|24|41|51|56|11|26|41|56|11|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|30|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|49|56|04|11|19|26|34|41|56|05|20||35||05||35|05|35|05|35|05|
Theodor-Heuss-Straße|25|42|52|57|12|27|42|57|12|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|31|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|50|57|05|12|20|27|35|42|57|06|21||36||06||36|06|36|06|36|06|
Amsterdamer Straße|27|44|54|59|14|29|44|59|14|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|33|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|52|59|07|14|22|29|37|44|59|08|23||38||08||38|08|38|08|38|08|
Hamborn Feuerwache|29|46|56|4.01|16|31|46|5.01|16|31|39|46|54|6.01|9|16|24|31|39|46|54|7.01|9|16|24|31|35|39|46|54|8.01|9|16|24|31|39|46|54|9.01|9|16|24|31|39|46|54|10.01|9|16|24|31|39|46|54|11.01|9|16|24|31|39|46|54|12.01|9|16|24|31|39|46|54|13.01|9|16|24|31|39|46|54|14.01|9|16|24|31|39|46|54|15.01|9|16|24|31|39|46|54|16.01|9|16|24|31|39|46|54|17.01|9|16|24|31|39|46|54|18.01|9|16|24|31|39|46|54|19.01|9|16|24|31|39|46|20.01|10|25||40||10||40|10|40|10|40|10|
Hamborn Rathaus|30|47|57|4.02|17|32|47|5.02|17|32|40|47|55|6.02|10|17|25|32|40|47|55|7.02|10|17|25|32|36|40|47|55|8.02|10|17|25|32|40|47|55|9.02|10|17|25|32|40|47|55|10.02|10|17|25|32|40|47|55|11.02|10|17|25|32|40|47|55|12.02|10|17|25|32|40|47|55|13.02|10|17|25|32|40|47|55|14.02|10|17|25|32|40|47|55|15.02|10|17|25|32|40|47|55|16.02|10|17|25|32|40|47|55|17.02|10|17|25|32|40|47|55|18.02|10|17|25|32|40|47|55|19.02|10|17|25|32|40|47|20.02|11|26||41||11||41|11|41|11|41|11|
