Walsum Overbruch        | 6.17| 7.17| 8.17| 9.17|15.55|16.55|17.55
Franz-Lenze-Platz       |   18|   18|   18|   18|   56|   56|   56
Bahnhofstraße           |   19|   19|   19|   19|   57|   57|   57
Vierlinden              |   22|   22|   22|   22|16.00|17.00|18.00
Walsum Rathaus          |   27|   27|   27|   27|   04|   04|   04
Hoeveler Straße         |   28|   28|   28|   28|   05|   05|   05
Hauptbahnhof            |   45|   45|   45|   45|   18|   18|   18
Hauptbahnhof Osteingang |   47|   47|   47|   47|   20|   20|   20
